Family ID,ID,Family-role,Age,Gender,VR-experience,Education,Income,RUCC,NIH,EU-Acceptance,EU-Concerns,EU-Benefits,ED-Acceptance,ED-Concerns,ED-Benefits,FD-Acceptance,FD-Concerns,FD-Benefits,FD-Acceptance,FD-Concerns,FD-Benefits,HU-Acceptance,HU-Concerns,HU-Benefits,HD-Acceptance,HD-Concerns,HD-Benefits,Interview-Data
12,16,Child,9,Male,Yes,,,1,1,5,3,3,5,3,3,5,3,5,5,3,3,,,,,,,12-12-2-Child 1.csv
13,17,Child,8,Female,No,,,1,2,3,1,3,3,3,1,3,3,3,3,3,1,,,,,,,46-43-2-Child 1.csv
13,18,Child,12,Female,Yes,,,1,2,5,3,5,5,3,5,,,,,,,5,1,5,5,5,3,13-13-2-Child 1.csv
14,19,Child,8,Female,No,,,1,2,,,,,,,3,3,5,5,1,3,3,1,5,5,3,3,14-14-1-Child 1.csv
15,20,Child,11,Male,Yes,,,1,1,,,,,,,3,3,5,1,1,3,5,1,3,5,3,3,15-15-2-Child 1.csv
16,21,Child,7,Male,No,,,6,6,5,3,3,1,1,5,1,1,3,5,1,3,,,,,,,16-16-3-Child 2.csv
16,22,Child,11,Male,Yes,,,6,6,5,1,5,5,1,5,3,3,3,1,5,1,,,,,,,16-16-1-Child 1.csv
17,23,Child,12,Male,No,,,3,4,3,1,3,5,1,3,3,1,3,5,3,3,,,,,,,17-17-2-Child 1.csv
18,24,Child,12,Male,Yes,,,1,2,3,3,3,5,3,5,3,3,3,3,3,3,,,,,,,18-18-2-Child 1.csv
18,25,Child,13,Male,Yes,,,1,2,3,3,5,1,5,3,3,3,5,1,5,3,,,,,,,
19,26,Child,12,Female,Yes,,,1,1,,,,,,,1,1,3,1,5,3,5,1,5,1,5,3,19-19-2-Child 1.csv
20,27,Child,9,Male,No,,,1,1,5,3,3,5,3,3,3,1,3,3,3,3,,,,,,,52-20-1-Child 1.csv
20,28,Child,11,Female,No,,,1,1,,,,,,,5,3,5,3,3,3,5,3,5,3,5,3,20-20-2-Child 1.csv
21,29,Child,8,Male,No,,,1,1,5,1,3,1,1,3,3,1,3,5,3,3,,,,,,,21-21-3-Child 2.csv
21,30,Child,11,Female,No,,,1,1,5,3,3,1,3,3,3,1,3,1,3,3,,,,,,,21-21-2-Child 1.csv
22,31,Child,11,Female,No,,,1,2,5,3,3,1,5,3,,,,,,,5,1,5,3,5,3,22-22-2-Child 1.csv
23,32,Child,10,Female,Yes,,,1,1,3,1,5,3,1,3,5,1,5,5,3,3,,,,,,,23-23-2-Child 1.csv
23,33,Child,12,Female,Yes,,,1,1,3,3,5,5,1,5,,,,,,,5,1,5,3,5,3,
24,34,Child,11,Female,No,,,1,1,3,3,3,1,5,1,3,3,3,3,5,1,,,,,,,24-24-1-Child 1.csv
25,35,Child,13,Female,Yes,,,4,5,3,3,1,1,1,3,1,1,3,1,1,3,,,,,,,25-25-1-Child 1.csv
26,36,Child,11,Female,No,,,1,1,3,1,3,1,3,3,3,5,3,3,1,3,,,,,,,26-26-1-Child 2.csv
26,37,Child,13,Female,No,,,1,1,3,3,5,1,3,3,5,3,5,1,3,3,,,,,,,26-26-2-Child 1.csv
27,38,Child,10,Male,No,,,1,2,5,1,5,3,1,5,3,1,3,1,5,3,,,,,,,27-27-1-Child 1.csv
28,39,Child,7,Female,Yes,,,1,1,3,1,3,1,1,3,1,1,3,1,1,3,,,,,,,
29,40,Child,12,Male,No,,,1,1,5,3,5,5,3,5,3,3,3,3,3,3,,,,,,,
30,41,Child,11,Female,No,,,1,2,5,3,5,3,3,5,3,1,3,5,3,1,,,,,,,30-30-3-Child 2.csv
30,42,Child,13,Female,No,,,1,2,1,5,1,3,3,3,3,3,1,3,5,1,,,,,,,30-30-1-Child 1.csv
30,43,Child,13,Female,No,,,1,2,,,,,,,5,1,5,3,5,3,3,3,5,1,5,1,
31,44,Child,9,Female,No,,,1,1,3,1,3,3,3,3,,,,,,,5,1,5,3,3,5,31-31-2-Child 1.csv
32,45,Child,10,Female,No,,,1,2,,,,,,,5,1,3,5,1,3,5,1,3,3,3,5,32-32-1-Child 1.csv
33,46,Child,13,Male,No,,,4,5,5,3,5,3,3,3,5,3,3,3,5,3,,,,,,,33-33-2-Child 1.csv
34,47,Child,11,Male,No,,,2,3,3,3,5,1,3,5,1,5,3,5,3,5,,,,,,,34-34-1-Child 1.csv
35,48,Child,9,Male,No,,,1,2,,,,,,,5,3,5,5,5,3,5,1,5,5,3,5,35-35-1-Child 1.csv
36,49,Child,9,Female,No,,,2,3,5,1,3,5,3,3,,,,,,,5,3,5,5,3,3,36-36-2-Child 1.csv
36,50,Child,12,Female,No,,,2,3,5,1,5,1,1,3,,,,,,,3,3,5,3,5,1,
37,51,Child,12,Male,Yes,,,1,1,3,1,5,3,1,5,5,1,3,3,3,3,,,,,,,37-37-1-Child 1.csv
38,52,Child,9,Male,No,,,1,1,3,1,3,3,1,5,3,1,3,3,1,5,,,,,,,39-38-2-Child 1.csv
39,53,Child,8,Female,No,,,1,2,5,3,5,5,3,5,,,,,,,5,3,5,5,3,5,40-39-2-Child 1.csv
40,54,Child,13,Male,Yes,,,1,1,3,3,3,3,3,3,5,1,5,3,3,3,,,,,,,41-40-1-Child 1.csv
41,55,Child,7,Male,Yes,,,1,1,5,5,1,5,5,3,5,1,3,5,3,1,,,,,,,43-41-2-Child 1.csv
42,56,Child,7,Male,No,,,1,1,1,1,5,5,3,1,3,5,1,1,5,3,,,,,,,44-42-2-Child 1.csv
43,57,Child,8,Female,Yes,,,1,1,5,3,3,5,3,3,,,,,,,5,1,5,5,1,5,45-13-2-Child 1.csv
44,58,Child,12,Female,No,,,1,2,3,3,3,3,3,3,,,,,,,5,3,5,1,3,3,47-44-2-Child 1+2.csv
45,59,Child,10,Male,No,,,1,2,5,3,5,5,3,5,5,3,5,3,5,3,,,,,,,48-45-2-Child 1+2.csv
45,60,Child,12,Male,Yes,,,1,2,3,3,3,3,5,1,5,3,5,5,1,3,,,,,,,48-45-2-Child 1+2.csv
46,61,Child,12,Male,Yes,,,1,1,3,3,3,1,3,3,5,1,5,3,3,3,,,,,,,49-46-1-Child 1.csv
47,62,Child,8,Male,Yes,,,1,1,5,5,5,5,5,5,1,3,3,3,5,5,,,,,,,50-47-1-Child 1.csv
48,63,Child,12,Male,Yes,,,3,4,5,3,3,1,3,3,5,3,5,3,3,3,,,,,,,51-48-1-Child 1.csv
49,64,Child,11,Female,Yes,,,1,2,5,3,5,3,3,5,5,3,5,3,5,3,,,,,,,53-49-1-Child 1.csv
50,65,Child,12,Male,Yes,,,1,2,5,3,5,5,3,3,3,5,3,5,3,3,,,,,,,54-50-2-Child 1.csv
51,66,Child,13,Male,Yes,,,1,2,3,1,3,1,3,3,3,3,3,5,3,3,,,,,,,55-51-1-Child 1.csv
52,67,Child,8,Female,No,,,1,2,5,1,1,1,5,1,1,5,1,1,3,1,,,,,,,56-52-2-Child 1.csv
1,68,Parent,39,Female,No,Associate's degree (2 year),"More than $100,000",1,1,5,4,5,4,4,5,5,3,4,4,4,4,,,,,,,1-1-1-Parent.csv
2,69,Parent,47,Male,No,Associate's degree (2 year),"More than $100,000",1,2,4,2,4,4,2,4,,,,,,,4,2,4,2,4,2,2-2-2-Parent.csv
3,70,Parent,76,Female,No,High school graduate,"$50,000 to $75,000",6,6,1,3,1,1,5,1,1,4,1,1,5,1,,,,,,,3-3-1-Parent Grandma.csv
4,71,Parent,47,Male,No,Associate's degree (2 year),"More than $100,000",1,2,4,3,4,3,3,4,,,,,,,5,3,5,4,4,4,4-4-2-Parent.csv
5,72,Parent,44,Male,Yes,Bachelor's degree (4 year),"More than $100,000",8,6,5,2,4,2,4,2,4,2,3,1,2,3,,,,,,,5-5-1-Parent.csv
6,73,Parent,43,Male,Yes,"Other, Some college","More than $100,000",1,1,4,3,4,3,3,4,5,3,5,4,3,4,,,,,,,6-6-1-Parent.csv
7,74,Parent,39,Female,Yes,Associate's degree (2 year),"$75,000 to $100,000",1,2,4,4,3,2,4,2,4,2,4,2,4,2,,,,,,,38-7-4-Parent.csv
7,75,Parent,44,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,2,4,3,4,4,3,4,,,,,,,4,2,4,4,2,4,7-7-2-Parent.csv
8,76,Parent,50,Male,Yes,Graduate degree,"More than $100,000",1,1,4,2,4,4,3,4,4,2,4,3,3,3,,,,,,,8-8-1-Parent.csv
9,77,Parent,47,Male,No,Graduate degree,"More than $100,000",1,1,,,,,,,5,1,5,4,3,3,5,1,5,5,1,4,9-9-2-Parent.csv
10,78,Parent,46,Female,No,Associate's degree (2 year),"More than $100,000",1,1,,,,2,4,2,,,,,,,,,,,,,
10,79,Parent,21,Female,No,Associate's degree (2 year),"$50,000 to $75,000",1,1,,,,,,,4,3,3,2,4,2,,,,,,,
11,80,Parent,37,Male,Yes,Graduate degree,"More than $100,000",1,1,,,,,,,5,1,5,2,4,3,5,1,5,5,1,5,11-11-1-Parent.csv
12,81,Parent,39,Female,Yes,Bachelor's degree (4 year),"More than $100,000",1,1,4,3,3,2,4,3,,,,,,,5,1,5,4,4,2,12-12-1-Parent.csv
13,82,Parent,45,Male,No,Bachelor's degree (4 year),"More than $100,000",1,2,5,3,5,5,3,5,,,,,,,5,2,5,4,4,3,46-43-1-Parent.csv
13,83,Parent,44,Female,No,Bachelor's degree (4 year),"More than $100,000",1,2,4,2,4,4,4,4,,,,,,,5,2,5,4,4,4,13-13-1-Parent.csv
14,84,Parent,43,Male,No,Bachelor's degree (4 year),"$75,000 to $100,000",1,2,,,,,,,4,4,2,2,4,1,5,1,5,1,5,1,14-14-2-Parent.csv
15,85,Parent,45,Male,Yes,Graduate degree,"More than $100,000",1,1,3,3,2,2,3,1,4,4,4,2,4,2,,,,,,,15-15-1-Parent.csv
16,86,Parent,43,Male,No,Bachelor's degree (4 year),"$50,000 to $75,000",6,6,5,1,5,2,4,2,,,,,,,5,1,5,1,5,1,16-16-2-Parent.csv
17,87,Parent,41,Female,Yes,Trade / technical / vocational certification,"$75,000 to $100,000",3,4,2,4,2,1,1,1,,,,,,,4,2,4,2,4,2,17-17-1-Parent.csv
18,88,Parent,19,Female,Yes,High school graduate,"More than $100,000",1,2,5,2,5,2,4,3,5,3,5,3,4,4,,,,,,,18-18-1-Parent.csv
19,89,Parent,46,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,1,4,2,3,1,5,1,,,,,,,5,1,4,2,4,2,19-19-1-Parent.csv
20,90,Parent,41,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,1,5,1,5,4,3,4,5,1,5,4,1,4,,,,,,,52-20-2-Parent.csv
20,91,Parent,39,Female,No,Graduate degree,"More than $100,000",1,1,4,2,4,4,3,4,4,2,4,2,4,2,,,,,,,20-20-1-Parent.csv
21,92,Parent,45,Female,No,Graduate degree,"More than $100,000",1,1,5,3,4,2,5,2,5,2,5,1,5,1,,,,,,,21-21-1-Parent.csv
22,93,Parent,41,Male,No,Bachelor's degree (4 year),"More than $100,000",1,2,4,2,4,2,4,3,4,3,4,3,4,2,,,,,,,22-22-1-Parent.csv
23,94,Parent,35,Female,No,Graduate degree,"More than $100,000",1,1,5,2,5,3,4,3,,,,,,,4,2,4,4,4,4,23-23-1-Parent.csv
24,95,Parent,50,Male,No,Bachelor's degree (4 year),"More than $100,000",1,1,,,,,,,4,1,4,1,5,1,5,1,5,1,5,5,24-24-2-Parent.csv
25,96,Parent,41,Female,Yes,Graduate degree,"More than $100,000",4,5,5,2,5,3,4,3,,,,,,,5,2,5,4,2,4,25-25-2-Parent.csv
26,97,Parent,59,Female,No,Associate's degree (2 year),"$75,000 to $100,000",1,1,5,1,5,4,5,4,,,,,,,5,1,5,3,4,2,26-26-3-Parent.csv
27,98,Parent,43,Female,No,Graduate degree,"More than $100,000",1,2,4,2,4,2,4,2,,,,,,,4,2,4,2,4,2,27-27-2-Parent.csv
28,99,Parent,42,Male,Yes,Associate's degree (2 year),"More than $100,000",1,1,4,2,4,4,2,3,4,2,2,3,4,3,,,,,,,28-28-2-Parent.csv
29,100,Parent,35,Female,No,Bachelor's degree (4 year),"$50,000 to $75,000",1,1,4,2,4,4,2,4,,,,,,,4,2,4,4,2,4,
30,101,Parent,46,Female,No,Trade / technical / vocational certification,"$50,000 to $75,000",1,2,5,1,5,5,3,5,4,3,4,3,5,3,,,,,,,30-30-2-Parent.csv
31,102,Parent,21,Female,No,High school graduate,"$25,000 to $ 49,000",1,1,3,4,3,4,3,4,4,2,3,2,4,2,,,,,,,31-31-1-Parent.csv
32,103,Parent,31,Female,No,Associate's degree (2 year),"$25,000 to $ 49,000",1,2,5,2,4,5,1,5,5,1,4,3,4,2,,,,,,,32-32-2-Parent.csv
33,104,Parent,42,Female,No,Bachelor's degree (4 year),"$75,000 to $100,000",4,5,,,,,,,4,1,4,4,3,4,5,1,5,3,2,2,33-33-1-Parent.csv
34,105,Parent,45,Male,No,High school graduate,"$50,000 to $75,000",2,3,4,4,3,4,4,3,4,3,4,2,4,2,,,,,,,34-34-2-Parent.csv
35,106,Parent,43,Female,No,High school graduate,"More than $100,000",1,2,5,3,5,1,4,2,,,,,,,4,2,4,4,2,4,35-35-2-Parent.csv
36,107,Parent,40,Male,No,Bachelor's degree (4 year),"$50,000 to $75,000",2,3,3,3,4,3,4,4,4,3,4,3,4,4,,,,,,,36-36-1-Parent.csv
38,108,Parent,27,Female,Yes,Bachelor's degree (4 year),"$75,000 to $100,000",1,1,4,2,4,3,4,4,,,,,,,5,2,5,4,4,4,39-38-1-Parent.csv
39,109,Parent,48,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,2,,,,,,,4,4,4,4,2,4,1,2,4,4,2,4,40-39-1-Parent.csv
40,110,Parent,30,Female,No,Bachelor's degree (4 year),"More than $100,000",1,1,5,1,4,2,4,3,5,2,5,2,4,2,,,,,,,41-40-2-Parent.csv
41,111,Parent,37,Female,Yes,Graduate degree,"More than $100,000",1,1,5,1,4,5,1,4,,,,,,,5,1,5,4,4,3,43-41-1-Parent.csv
42,112,Parent,48,Female,No,Graduate degree,"More than $100,000",1,1,4,2,5,4,4,4,4,2,4,2,4,3,,,,,,,44-42-3-Parent.csv
43,113,Parent,57,Female,No,Bachelor's degree (4 year),"less than $25,000",1,1,,,,,,,2,4,3,1,5,2,4,2,4,1,5,1,45-13-1-Parent.csv
44,114,Parent,42,Female,No,Graduate degree,"More than $100,000",1,2,,,,,,,5,2,5,3,4,2,1,1,1,4,3,3,47-44-1-Parent.csv
45,115,Parent,48,Female,Yes,Graduate degree,"More than $100,000",1,2,4,1,5,3,4,4,4,2,4,3,3,3,,,,,,,48-45-1-Parent.csv
46,116,Parent,45,Female,No,Graduate degree,"More than $100,000",1,1,,,,,,,5,2,5,5,2,5,5,2,5,5,2,5,49-46-2-Parent.csv
47,117,Parent,38,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,1,,,,,,,4,2,4,4,2,4,4,2,4,4,2,4,50-47-2-Parent.csv
48,118,Parent,44,Female,Yes,Graduate degree,"$75,000 to $100,000",3,4,4,2,4,4,2,4,,,,,,,2,4,2,4,3,5,51-48-2-Parent.csv
49,119,Parent,42,Female,Yes,Other,"$75,000 to $100,000",1,2,4,3,5,4,2,4,1,2,1,3,4,2,,,,,,,53-49-2-Parent.csv
50,120,Parent,38,Male,Yes,Bachelor's degree (4 year),"More than $100,000",1,2,,,,,,,3,3,4,2,4,2,2,4,3,4,2,3,54-50-1-Parent.csv
51,121,Parent,53,Female,No,High school graduate,"$75,000 to $100,000",1,2,1,1,5,3,4,3,4,2,4,3,4,2,,,,,,,55-51-2-Parent.csv
52,122,Parent,34,Male,Yes,Associate's degree (2 year),"$75,000 to $100,000",1,2,,,,,,,4,3,4,4,3,4,4,4,4,4,3,4,56-52-1-Parent.csv
,,,,,,,,,,100,100,100,101,101,101,88,88,88,88,88,88,51,51,51,51,51,51,
